source_qid,source_title,target_qid,target_title
Q172241,The Shawshank Redemption,Q221586,Mystic River (film)
Q172241,The Shawshank Redemption,Q91540,Back to the Future
Q172241,The Shawshank Redemption,Q27894574,Bohemian Rhapsody (film)
Q172241,The Shawshank Redemption,Q104137,Unforgiven
Q172241,The Shawshank Redemption,Q11621,E.T. the Extra-Terrestrial
Q172241,The Shawshank Redemption,Q4103201,Boyhood (2014 film)
Q172241,The Shawshank Redemption,Q61448040,Parasite (2019 film)
Q172241,The Shawshank Redemption,Q741823,JFK (film)
Q172241,The Shawshank Redemption,Q42047,Goodfellas
Q172241,The Shawshank Redemption,Q866120,Mr. Smith Goes to Washington
Q172241,The Shawshank Redemption,Q190643,Platoon (film)
Q172241,The Shawshank Redemption,Q483941,Schindler's List
Q172241,The Shawshank Redemption,Q31202708,Top Gun: Maverick
Q172241,The Shawshank Redemption,Q47075,Scarface (1983 film)
Q172241,The Shawshank Redemption,Q163872,The Dark Knight
Q172241,The Shawshank Redemption,Q44578,Titanic (1997 film)
Q172241,The Shawshank Redemption,Q464032,Cinema Paradiso
Q172241,The Shawshank Redemption,Q339876,L.A. Confidential (film)
Q172241,The Shawshank Redemption,Q24053277,"Three Billboards Outside Ebbing, Missouri"
Q172241,The Shawshank Redemption,Q595,The Intouchables
Q172241,The Shawshank Redemption,Q20856802,La La Land
Q172241,The Shawshank Redemption,Q186341,The Shining (film)
Q172241,The Shawshank Redemption,Q201674,The Deer Hunter
Q172241,The Shawshank Redemption,Q190956,Amadeus (film)
Q172241,The Shawshank Redemption,Q42759035,Joker (2019 film)
Q172241,The Shawshank Redemption,Q208263,The Green Mile (film)
Q172241,The Shawshank Redemption,Q108839994,Oppenheimer (film)
Q172241,The Shawshank Redemption,Q171669,One Flew Over the Cuckoo's Nest (film)
Q172241,The Shawshank Redemption,Q2875,Gone with the Wind (film)
Q172241,The Shawshank Redemption,Q126699,Gran Torino
Q172241,The Shawshank Redemption,Q204191,It's a Wonderful Life
Q172241,The Shawshank Redemption,Q20456,Dances With Wolves
Q172241,The Shawshank Redemption,Q183063,The Sixth Sense
Q172241,The Shawshank Redemption,Q105598,Die Hard
Q172241,The Shawshank Redemption,Q206388,Once Upon a Time in America
Q172241,The Shawshank Redemption,Q160060,The King's Speech
Q172241,The Shawshank Redemption,Q494722,Stand by Me (film)
Q172241,The Shawshank Redemption,Q134773,Forrest Gump
Q172241,The Shawshank Redemption,Q188652,Rocky
Q172241,The Shawshank Redemption,Q110365,Dancer in the Dark
Q172241,The Shawshank Redemption,Q637820,Amour (2012 film)
Q172241,The Shawshank Redemption,Q47703,The Godfather
Q172241,The Shawshank Redemption,Q24871,Avatar (2009 film)
Q172241,The Shawshank Redemption,Q684150,Cool Hand Luke
Q172241,The Shawshank Redemption,Q150804,The Pianist (2002 film)
Q172241,The Shawshank Redemption,Q184255,Million Dollar Baby
Q172241,The Shawshank Redemption,Q104123,Pulp Fiction
Q47703,The Godfather,Q132689,Casablanca (film)
Q47703,The Godfather,Q62721520,1917 (2019 film)
Q47703,The Godfather,Q103474,2001: A Space Odyssey
Q47703,The Godfather,Q190643,Platoon (film)
Q47703,The Godfather,Q483941,Schindler's List
Q47703,The Godfather,Q204212,Rebecca (1940 film)
Q47703,The Godfather,Q190956,Amadeus (film)
