tconst,primaryTitle,startYear,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994,9.3,3208438
tt0068646,The Godfather,1972,9.2,2237959
tt0468569,The Dark Knight,2008,9.1,3189741
tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,2175824
tt0108052,Schindler's List,1993,9.0,1592229
tt0071562,The Godfather Part II,1974,9.0,1501666
tt0050083,12 Angry Men,1957,9.0,991791
tt28089784,Punjab '95,2026,9.0,104634
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2218231
tt1375666,Inception,2010,8.8,2835934
tt0137523,Fight Club,1999,8.8,2630833
tt0109830,Forrest Gump,1994,8.8,2510744
tt0110912,Pulp Fiction,1994,8.8,2448640
tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,1967470
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,894326
tt0816692,Interstellar,2014,8.7,2560501
tt0133093,The Matrix,1999,8.7,2260284
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1512558
tt0099685,GoodFellas,1990,8.7,1400579
tt23849204,12th Fail,2023,8.7,174329
tt0114369,Seven,1995,8.6,2036361
tt0102926,The Silence of the Lambs,1991,8.6,1733778
tt0120815,Saving Private Ryan,1998,8.6,1649061
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,1577835
tt0120689,The Green Mile,1999,8.6,1571024
tt0103064,Terminator 2: Judgment Day,1991,8.6,1290222
tt0073486,One Flew Over the Cuckoo's Nest,1975,8.6,1160576
tt0245429,Spirited Away,2001,8.6,975306
tt0317248,City of God,2002,8.6,875299
tt0118799,Life Is Beautiful,1997,8.6,816726
tt0038650,It's a Wonderful Life,1946,8.6,556028
tt0047478,Seven Samurai,1954,8.6,403409
tt15097216,Jai Bhim,2021,8.6,235238
tt10189514,Soorarai Pottru,2020,8.6,132329
tt0056058,Harakiri,1962,8.6,92482
tt24082438,20 Days in Mariupol,2023,8.6,65216
tt9263550,Rocketry: The Nambi Effect,2022,8.6,62348
tt1853728,Django Unchained,2012,8.5,1895561
tt0172495,Gladiator,2000,8.5,1861816
tt0482571,The Prestige,2006,8.5,1601267
tt0407887,The Departed,2006,8.5,1563493
tt0088763,Back to the Future,1985,8.5,1462162
tt0110413,Léon: The Professional,1994,8.5,1357072
tt0120586,American History X,1998,8.5,1278704
tt0110357,The Lion King,1994,8.5,1266690
tt0114814,The Usual Suspects,1995,8.5,1244509
tt6751668,Parasite,2019,8.5,1177954
tt2582802,Whiplash,2014,8.5,1166347
tt1675434,The Intouchables,2011,8.5,1033569
tt0253474,The Pianist,2002,8.5,1017040
tt0054215,Psycho,1960,8.5,789124
tt0034583,Casablanca,1942,8.5,657281
tt10811166,The Kashmir Files,2022,8.5,579400
tt9362722,Spider-Man: Across the Spider-Verse,2023,8.5,535258
tt0095327,Grave of the Fireflies,1988,8.5,390332
tt0064116,Once Upon a Time in the West,1968,8.5,385658
tt0095765,Cinema Paradiso,1988,8.5,318278
tt0027977,Modern Times,1936,8.5,286243
tt0021749,City Lights,1931,8.5,217191
tt20850406,Sita Ramam,2022,8.5,84687
tt1345836,The Dark Knight Rises,2012,8.4,2007214
tt0361748,Inglourious Basterds,2009,8.4,1798782
tt4154796,Avengers: Endgame,2019,8.4,1460286
tt0209144,Memento,2000,8.4,1443412
tt4154756,Avengers: Infinity War,2018,8.4,1385032
tt0910970,WALL·E,2008,8.4,1330137
tt0081505,The Shining,1980,8.4,1233121
tt0119217,Good Will Hunting,1997,8.4,1227211
tt0082971,Raiders of the Lost Ark,1981,8.4,1114524
tt0078748,Alien,1979,8.4,1069202
tt0090605,Aliens,1986,8.4,843202
tt4633694,Spider-Man: Into the Spider-Verse,2018,8.4,799037
tt15239678,Dune: Part Two,2024,8.4,774340
tt0078788,Apocalypse Now,1979,8.4,773569
tt2380307,Coco,2017,8.4,716104
tt0047396,Rear Window,1954,8.4,570649
tt1187043,3 Idiots,2009,8.4,485709
tt0086879,Amadeus,1984,8.4,470382
tt0405094,The Lives of Others,2006,8.4,444888
tt5311514,Your Name.,2016,8.4,398223
tt0043014,Sunset Boulevard,1950,8.4,262336
tt0032553,The Great Dictator,1940,8.4,259105
tt0050825,Paths of Glory,1957,8.4,240499
tt0051201,Witness for the Prosecution,1957,8.4,163067
tt8267604,Capernaum,2018,8.4,125484
tt33764258,The Odyssey,2026,8.4,103609
tt1424432,Senna,2010,8.4,83905
tt32820897,Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,8.4,75682
tt0057565,High and Low,1963,8.4,72515
tt31514146,I Swear,2025,8.4,53579
tt1313104,The Cove,2009,8.4,52706
tt9900782,Kaithi,2019,8.4,52140
tt7286456,Joker,2019,8.3,1706838
tt0169547,American Beauty,1999,8.3,1282650
tt1049413,Up,2009,8.3,1244589
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1215648
tt0338013,Eternal Sunshine of the Spotless Mind,2004,8.3,1187786
tt0114709,Toy Story,1995,8.3,1186837
tt0112573,Braveheart,1995,8.3,1165813
tt0086250,Scarface,1983,8.3,1023965
tt0435761,Toy Story 3,2010,8.3,980755
tt0180093,Requiem for a Dream,2000,8.3,978465
tt0113277,Heat,1995,8.3,810884
tt0062622,2001: A Space Odyssey,1968,8.3,787014
tt0364569,Oldboy,2003,8.3,724753
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,552072
tt0119698,Princess Mononoke,1997,8.3,486512
tt2106476,The Hunt,2012,8.3,413275
tt0087843,Once Upon a Time in America,1984,8.3,409771
tt0053125,North by Northwest,1959,8.3,369836
tt0056172,Lawrence of Arabia,1962,8.3,343217
tt0082096,Das Boot,1981,8.3,289010
tt0045152,Singin' in the Rain,1952,8.3,284044
tt1832382,A Separation,2011,8.3,278941
tt1255953,Incendies,2010,8.3,254606
tt5074352,Dangal,2016,8.3,245628
tt0986264,Like Stars on Earth,2007,8.3,234162
tt0053604,The Apartment,1960,8.3,221077
tt0022100,M,1931,8.3,183465
tt0036775,Double Indemnity,1944,8.3,182250
tt33014583,Dhurandhar,2025,8.3,146994
tt8503618,Hamilton,2020,8.3,140933
tt8110330,Dil Bechara,2020,8.3,137982
tt10295212,Shershaah,2021,8.3,136985
tt0091251,Come and See,1985,8.3,124628
tt0044741,Ikiru,1952,8.3,103023
tt0055031,Judgment at Nuremberg,1961,8.3,97495
tt9179430,Vikram,2022,8.3,90241
tt26548265,Maharaja,2024,8.3,83704
tt9052870,Chhichhore,2019,8.3,73614
tt30472557,Chainsaw Man - The Movie: Reze Arc,2025,8.3,62558
tt21626284,Lost Ladies,2023,8.3,61130
tt7060344,Ratsasan,2018,8.3,60414
tt10280296,Sardar Udham,2021,8.3,50994
tt0993846,The Wolf of Wall Street,2013,8.2,1804217
tt0372784,Batman Begins,2005,8.2,1725854
tt1130884,Shutter Island,2010,8.2,1662727
tt0120382,The Truman Show,1998,8.2,1387348
tt0266697,Kill Bill: Vol. 1,2003,8.2,1314876
tt0266543,Finding Nemo,2003,8.2,1215589
tt0477348,No Country for Old Men,2007,8.2,1200547
tt0107290,Jurassic Park,1993,8.2,1186577
tt0105236,Reservoir Dogs,1992,8.2,1174691
tt0167404,The Sixth Sense,1999,8.2,1150960
tt15398776,Oppenheimer,2023,8.2,1064589
tt0268978,A Beautiful Mind,2001,8.2,1057908
tt0095016,Die Hard,1988,8.2,1033627
tt0075314,Taxi Driver,1976,8.2,1032850
tt0208092,Snatch,2000,8.2,980002
tt1392214,Prisoners,2013,8.2,945067
tt0066921,A Clockwork Orange,1971,8.2,939546
tt1745960,Top Gun: Maverick,2022,8.2,891823
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,866531
tt0093058,Full Metal Jacket,1987,8.2,854004
tt0211915,Amélie,2001,8.2,843012
tt8579674,1917,2019,8.2,777326
tt0457430,Pan's Labyrinth,2006,8.2,749375
tt0469494,There Will Be Blood,2007,8.2,713296
tt6966692,Green Book,2018,8.2,694020
tt0119488,L.A. Confidential,1997,8.2,660596
tt0112641,Casino,1995,8.2,623234
tt0084787,The Thing,1982,8.2,529876
tt0347149,Howl's Moving Castle,2004,8.2,516669
tt0033467,Citizen Kane,1941,8.2,494365
tt0105695,Unforgiven,1992,8.2,469991
tt0052357,Vertigo,1958,8.2,460186
tt12042730,Project Hail Mary,2026,8.2,435377
tt0363163,Downfall,2004,8.2,401857
tt0031381,Gone with the Wind,1939,8.2,356830
tt0056592,To Kill a Mockingbird,1962,8.2,351734
tt0053291,Some Like It Hot,1959,8.2,305698
tt0070735,The Sting,1973,8.2,303537
tt0059578,For a Few Dollars More,1965,8.2,301632
tt0080678,The Elephant Man,1980,8.2,282544
tt0057115,The Great Escape,1963,8.2,278531
tt10272386,The Father,2020,8.2,247116
tt1305806,The Secret in Their Eyes,2009,8.2,243623
tt4729430,Klaus,2019,8.2,239400
tt29623480,The Wild Robot,2024,8.2,230751
tt0017136,Metropolis,1927,8.2,202037
tt0040522,Bicycle Thieves,1948,8.2,192254
tt10698680,K.G.F: Chapter 2,2022,8.2,170745
tt0089881,Ran,1985,8.2,153080
tt0042192,All About Eve,1950,8.2,149855
tt0012349,The Kid,1921,8.2,146245
tt5323662,A Silent Voice: The Movie,2016,8.2,145943
tt0055630,Yojimbo,1961,8.2,143800
tt0040897,The Treasure of the Sierra Madre,1948,8.2,142010
tt4849438,Baahubali 2: The Conclusion,2017,8.2,135383
tt8108198,Andhadhun,2018,8.2,117173
tt1954470,Gangs of Wasseypur,2012,8.2,114968
tt4430212,Drishyam,2015,8.2,110006
tt0367110,Swades,2004,8.2,106655
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,101966
tt0476735,My Father and My Son,2005,8.2,101450
