tconst,primaryTitle,qid,wikipedia_title,wikipedia_url
tt0111161,The Shawshank Redemption,Q172241,The_Shawshank_Redemption,https://en.wikipedia.org/wiki/The_Shawshank_Redemption
tt0068646,The Godfather,Q47703,The_Godfather,https://en.wikipedia.org/wiki/The_Godfather
tt0468569,The Dark Knight,Q163872,The_Dark_Knight,https://en.wikipedia.org/wiki/The_Dark_Knight
tt0167260,The Lord of the Rings: The Return of the King,Q131074,The_Lord_of_the_Rings:_The_Return_of_the_King,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King
tt0108052,Schindler's List,Q483941,Schindler%27s_List,https://en.wikipedia.org/wiki/Schindler%27s_List
tt0071562,The Godfather Part II,Q184768,The_Godfather_Part_II,https://en.wikipedia.org/wiki/The_Godfather_Part_II
tt0050083,12 Angry Men,Q2345,12_Angry_Men,https://en.wikipedia.org/wiki/12_Angry_Men
tt28089784,Punjab '95,Q131822415,Satluj_(film),https://en.wikipedia.org/wiki/Satluj_(film)
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Q127367,The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring
tt1375666,Inception,Q25188,Inception,https://en.wikipedia.org/wiki/Inception
tt0137523,Fight Club,Q190050,Fight_Club,https://en.wikipedia.org/wiki/Fight_Club
tt0109830,Forrest Gump,Q134773,Forrest_Gump,https://en.wikipedia.org/wiki/Forrest_Gump
tt0110912,Pulp Fiction,Q104123,Pulp_Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction
tt0167261,The Lord of the Rings: The Two Towers,Q164963,The_Lord_of_the_Rings:_The_Two_Towers,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers
tt0060196,"The Good, the Bad and the Ugly",Q41483,"The_Good,_the_Bad_and_the_Ugly","https://en.wikipedia.org/wiki/The_Good,_the_Bad_and_the_Ugly"
tt0816692,Interstellar,Q13417189,Interstellar_(film),https://en.wikipedia.org/wiki/Interstellar_(film)
tt0133093,The Matrix,Q83495,The_Matrix,https://en.wikipedia.org/wiki/The_Matrix
tt0080684,Star Wars: Episode V - The Empire Strikes Back,Q181795,The_Empire_Strikes_Back,https://en.wikipedia.org/wiki/The_Empire_Strikes_Back
tt0099685,GoodFellas,Q42047,Goodfellas,https://en.wikipedia.org/wiki/Goodfellas
tt23849204,12th Fail,Q122921105,12th_Fail,https://en.wikipedia.org/wiki/12th_Fail
tt0114369,Seven,Q190908,Seven_(1995_film),https://en.wikipedia.org/wiki/Seven_(1995_film)
tt0102926,The Silence of the Lambs,Q133654,The_Silence_of_the_Lambs_(film),https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film)
tt0120815,Saving Private Ryan,Q165817,Saving_Private_Ryan,https://en.wikipedia.org/wiki/Saving_Private_Ryan
tt0076759,Star Wars: Episode IV - A New Hope,Q17738,Star_Wars_(film),https://en.wikipedia.org/wiki/Star_Wars_(film)
tt0120689,The Green Mile,Q208263,The_Green_Mile_(film),https://en.wikipedia.org/wiki/The_Green_Mile_(film)
tt0103064,Terminator 2: Judgment Day,Q170564,Terminator_2:_Judgment_Day,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day
tt0073486,One Flew Over the Cuckoo's Nest,Q171669,One_Flew_Over_the_Cuckoo%27s_Nest_(film),https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film)
tt0245429,Spirited Away,Q155653,Spirited_Away,https://en.wikipedia.org/wiki/Spirited_Away
tt0317248,City of God,Q220741,City_of_God_(2002_film),https://en.wikipedia.org/wiki/City_of_God_(2002_film)
tt0118799,Life Is Beautiful,Q19355,Life_Is_Beautiful,https://en.wikipedia.org/wiki/Life_Is_Beautiful
tt0038650,It's a Wonderful Life,Q204191,It%27s_a_Wonderful_Life,https://en.wikipedia.org/wiki/It%27s_a_Wonderful_Life
tt0047478,Seven Samurai,Q189540,Seven_Samurai,https://en.wikipedia.org/wiki/Seven_Samurai
tt15097216,Jai Bhim,Q108376991,Jai_Bhim_(film),https://en.wikipedia.org/wiki/Jai_Bhim_(film)
tt10189514,Soorarai Pottru,Q63135778,Soorarai_Pottru,https://en.wikipedia.org/wiki/Soorarai_Pottru
tt0056058,Harakiri,Q1584406,Harakiri_(1962_film),https://en.wikipedia.org/wiki/Harakiri_(1962_film)
tt24082438,20 Days in Mariupol,Q116542843,20_Days_in_Mariupol,https://en.wikipedia.org/wiki/20_Days_in_Mariupol
tt9263550,Rocketry: The Nambi Effect,Q58034627,Rocketry:_The_Nambi_Effect,https://en.wikipedia.org/wiki/Rocketry:_The_Nambi_Effect
tt1853728,Django Unchained,Q571032,Django_Unchained,https://en.wikipedia.org/wiki/Django_Unchained
tt0172495,Gladiator,Q128518,Gladiator_(2000_film),https://en.wikipedia.org/wiki/Gladiator_(2000_film)
tt0482571,The Prestige,Q46551,The_Prestige,https://en.wikipedia.org/wiki/The_Prestige
tt0407887,The Departed,Q172975,The_Departed,https://en.wikipedia.org/wiki/The_Departed
tt0088763,Back to the Future,Q91540,Back_to_the_Future,https://en.wikipedia.org/wiki/Back_to_the_Future
tt0110413,Léon: The Professional,Q484675,L%C3%A9on:_The_Professional,https://en.wikipedia.org/wiki/L%C3%A9on:_The_Professional
tt0120586,American History X,Q208572,American_History_X,https://en.wikipedia.org/wiki/American_History_X
tt0110357,The Lion King,Q36479,The_Lion_King,https://en.wikipedia.org/wiki/The_Lion_King
tt0114814,The Usual Suspects,Q132351,The_Usual_Suspects,https://en.wikipedia.org/wiki/The_Usual_Suspects
tt6751668,Parasite,Q61448040,Parasite_(2019_film),https://en.wikipedia.org/wiki/Parasite_(2019_film)
tt2582802,Whiplash,Q15648198,Whiplash_(2014_film),https://en.wikipedia.org/wiki/Whiplash_(2014_film)
tt1675434,The Intouchables,Q595,The_Intouchables,https://en.wikipedia.org/wiki/The_Intouchables
tt0253474,The Pianist,Q150804,The_Pianist_(2002_film),https://en.wikipedia.org/wiki/The_Pianist_(2002_film)
tt0054215,Psycho,Q163038,Psycho_(1960_film),https://en.wikipedia.org/wiki/Psycho_(1960_film)
tt0034583,Casablanca,Q132689,Casablanca_(film),https://en.wikipedia.org/wiki/Casablanca_(film)
tt10811166,The Kashmir Files,Q104821313,The_Kashmir_Files,https://en.wikipedia.org/wiki/The_Kashmir_Files
tt9362722,Spider-Man: Across the Spider-Verse,Q76448600,Spider-Man:_Across_the_Spider-Verse,https://en.wikipedia.org/wiki/Spider-Man:_Across_the_Spider-Verse
tt0095327,Grave of the Fireflies,Q274520,Grave_of_the_Fireflies,https://en.wikipedia.org/wiki/Grave_of_the_Fireflies
tt0064116,Once Upon a Time in the West,Q168154,Once_Upon_a_Time_in_the_West,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_the_West
tt0095765,Cinema Paradiso,Q464032,Cinema_Paradiso,https://en.wikipedia.org/wiki/Cinema_Paradiso
tt0027977,Modern Times,Q45602,Modern_Times_(film),https://en.wikipedia.org/wiki/Modern_Times_(film)
tt0021749,City Lights,Q238211,City_Lights,https://en.wikipedia.org/wiki/City_Lights
