tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt0111161,The Shawshank Redemption,1994,9.3,3208438,Q172241,0.0027115312840206,1.0,131.0
tt0068646,The Godfather,1972,9.2,2237959,Q47703,0.0039565889244576,2.0,54.0
tt0468569,The Dark Knight,2008,9.1,3189741,Q163872,0.005022619674339,3.0,21.0
tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,2175824,Q131074,0.0057957639763169,4.0,8.0
tt0108052,Schindler's List,1993,9.0,1592229,Q483941,0.0055260253413976,5.0,11.0
tt0071562,The Godfather Part II,1974,9.0,1501666,Q184768,0.0025713387346138,6.0,142.0
tt0050083,12 Angry Men,1957,9.0,991791,Q2345,0.0021076295798508,7.0,188.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2218231,Q127367,0.0039734239855079,8.0,53.0
tt1375666,Inception,2010,8.8,2835934,Q25188,0.0037550803431742,9.0,62.0
tt0137523,Fight Club,1999,8.8,2630833,Q190050,0.000725554098674,10.0,415.0
tt0109830,Forrest Gump,1994,8.8,2510744,Q134773,0.0053357700551742,11.0,15.0
tt0110912,Pulp Fiction,1994,8.8,2448640,Q104123,0.0060871818390784,12.0,5.0
tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,1967470,Q164963,0.0036649981760643,13.0,68.0
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,894326,Q41483,0.001106789301134,14.0,340.0
tt0816692,Interstellar,2014,8.7,2560501,Q13417189,0.0028797048092445,15.0,113.0
tt0133093,The Matrix,1999,8.7,2260284,Q83495,0.0031152246821726,16.0,97.0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1512558,Q181795,0.0028069766624816,17.0,121.0
tt0099685,GoodFellas,1990,8.7,1400579,Q42047,0.0040144340632539,18.0,52.0
tt23849204,12th Fail,2023,8.7,174329,Q122921105,0.0030583286800426,19.0,103.0
tt0114369,Seven,1995,8.6,2036361,Q190908,0.0026191442417918,20.0,139.0
tt0102926,The Silence of the Lambs,1991,8.6,1733778,Q133654,0.0044633845551399,21.0,36.0
tt0120815,Saving Private Ryan,1998,8.6,1649061,Q165817,0.0058238543372747,22.0,7.0
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,1577835,Q17738,0.0047351916675862,23.0,26.0
tt0120689,The Green Mile,1999,8.6,1571024,Q208263,0.0015134812677687,24.0,276.0
tt0103064,Terminator 2: Judgment Day,1991,8.6,1290222,Q170564,0.0031369084433005,25.0,93.0
tt0073486,One Flew Over the Cuckoo's Nest,1975,8.6,1160576,Q171669,0.0040646608391619,26.0,44.0
tt0245429,Spirited Away,2001,8.6,975306,Q155653,0.0037039563480412,27.0,65.0
tt0317248,City of God,2002,8.6,875299,Q220741,0.0026390620658879,28.0,138.0
tt0118799,Life Is Beautiful,1997,8.6,816726,Q19355,0.0046223385823284,29.0,29.0
tt0038650,It's a Wonderful Life,1946,8.6,556028,Q204191,0.0009914728350975,30.0,354.0
tt0047478,Seven Samurai,1954,8.6,403409,Q189540,0.0014535380554114,31.0,293.0
tt15097216,Jai Bhim,2021,8.6,235238,Q108376991,0.0007977099296505,32.0,396.0
tt10189514,Soorarai Pottru,2020,8.6,132329,Q63135778,0.0016208884752624,33.0,260.0
tt0056058,Harakiri,1962,8.6,92482,Q1584406,0.001486801357225,34.0,284.0
tt24082438,20 Days in Mariupol,2023,8.6,65216,Q116542843,0.0017823357553297,35.0,243.0
tt9263550,Rocketry: The Nambi Effect,2022,8.6,62348,Q58034627,0.0015313589365159,36.0,273.0
tt1853728,Django Unchained,2012,8.5,1895561,Q571032,0.0018147114852889,37.0,234.0
tt0172495,Gladiator,2000,8.5,1861816,Q128518,0.0049502258187423,38.0,22.0
tt0482571,The Prestige,2006,8.5,1601267,Q46551,0.0008470239091493,39.0,387.0
tt0407887,The Departed,2006,8.5,1563493,Q172975,0.0042314426664126,40.0,41.0
tt0088763,Back to the Future,1985,8.5,1462162,Q91540,0.0041663071243193,41.0,42.0
tt0110413,Léon: The Professional,1994,8.5,1357072,Q484675,0.0006799656212192,42.0,423.0
tt0120586,American History X,1998,8.5,1278704,Q208572,0.0004934867424705,43.0,465.0
tt0110357,The Lion King,1994,8.5,1266690,Q36479,0.0026458663121146,44.0,134.0
tt0114814,The Usual Suspects,1995,8.5,1244509,Q132351,0.0022772208798645,45.0,174.0
tt6751668,Parasite,2019,8.5,1177954,Q61448040,0.0084424259897846,46.0,1.0
tt2582802,Whiplash,2014,8.5,1166347,Q15648198,0.0011553458483751,47.0,334.0
tt1675434,The Intouchables,2011,8.5,1033569,Q595,0.0026911434676526,48.0,132.0
tt0253474,The Pianist,2002,8.5,1017040,Q150804,0.0044145715267814,49.0,37.0
tt0054215,Psycho,1960,8.5,789124,Q163038,0.0028393746658603,50.0,116.0
tt0034583,Casablanca,1942,8.5,657281,Q132689,0.0026423082238482,51.0,136.0
tt10811166,The Kashmir Files,2022,8.5,579400,Q104821313,0.0007354194436407,52.0,413.0
tt9362722,Spider-Man: Across the Spider-Verse,2023,8.5,535258,Q76448600,0.0018462351652261,53.0,226.0
tt0095327,Grave of the Fireflies,1988,8.5,390332,Q274520,0.0008862772909318,54.0,382.0
tt0064116,Once Upon a Time in the West,1968,8.5,385658,Q168154,0.001155528108776,55.0,333.0
tt0095765,Cinema Paradiso,1988,8.5,318278,Q464032,0.0033871830193601,56.0,82.0
tt0027977,Modern Times,1936,8.5,286243,Q45602,0.0019440767501079,57.0,214.0
tt0021749,City Lights,1931,8.5,217191,Q238211,0.0020212209687536,58.0,197.0
tt20850406,Sita Ramam,2022,8.5,84687,Q113455828,0.000833082717634,59.0,390.0
