tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt0120586,American History X,1998,8.5,1278704,Q208572,0.0004934867424705,43.0,465.0
tt0110413,Léon: The Professional,1994,8.5,1357072,Q484675,0.0006799656212192,42.0,423.0
tt0137523,Fight Club,1999,8.8,2630833,Q190050,0.000725554098674,10.0,415.0
tt15097216,Jai Bhim,2021,8.6,235238,Q108376991,0.0007977099296505,32.0,396.0
tt0482571,The Prestige,2006,8.5,1601267,Q46551,0.0008470239091493,39.0,387.0
tt0038650,It's a Wonderful Life,1946,8.6,556028,Q204191,0.0009914728350975,30.0,354.0
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,894326,Q41483,0.001106789301134,14.0,340.0
tt2582802,Whiplash,2014,8.5,1166347,Q15648198,0.0011553458483751,47.0,334.0
tt0047478,Seven Samurai,1954,8.6,403409,Q189540,0.0014535380554114,31.0,293.0
tt0056058,Harakiri,1962,8.6,92482,Q1584406,0.001486801357225,34.0,284.0
tt0120689,The Green Mile,1999,8.6,1571024,Q208263,0.0015134812677687,24.0,276.0
tt9263550,Rocketry: The Nambi Effect,2022,8.6,62348,Q58034627,0.0015313589365159,36.0,273.0
tt10189514,Soorarai Pottru,2020,8.6,132329,Q63135778,0.0016208884752624,33.0,260.0
tt24082438,20 Days in Mariupol,2023,8.6,65216,Q116542843,0.0017823357553297,35.0,243.0
tt1853728,Django Unchained,2012,8.5,1895561,Q571032,0.0018147114852889,37.0,234.0
tt0050083,12 Angry Men,1957,9.0,991791,Q2345,0.0021076295798508,7.0,188.0
tt0114814,The Usual Suspects,1995,8.5,1244509,Q132351,0.0022772208798645,45.0,174.0
tt0071562,The Godfather Part II,1974,9.0,1501666,Q184768,0.0025713387346138,6.0,142.0
tt0114369,Seven,1995,8.6,2036361,Q190908,0.0026191442417918,20.0,139.0
tt0317248,City of God,2002,8.6,875299,Q220741,0.0026390620658879,28.0,138.0
